onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.09, 0.38, 0.14, 0.69, 0.02, 0.31, 0.01
ont_2_music, 0.08, 0.37, 0.14, 0.61, 0.01, 0.39, 0.00
ont_3_sport, 0.05, 0.19, 0.07, 0.50, 0.02, 0.50, 0.02
ont_4_book, 0.10, 0.45, 0.16, 0.54, 0.01, 0.46, 0.00
ont_5_military, 0.04, 0.21, 0.07, 0.06, 0.09, 0.94, 0.16
ont_6_computer, 0.12, 0.60, 0.20, 0.43, 0.01, 0.57, 0.05
ont_7_space, 0.07, 0.30, 0.11, 0.19, 0.17, 0.81, 0.09
ont_8_politics, 0.10, 0.50, 0.17, 0.59, 0.00, 0.41, 0.00
ont_9_nature, 0.10, 0.45, 0.16, 0.48, 0.04, 0.52, 0.01
ont_10_culture, 0.02, 0.12, 0.04, 0.20, 0.00, 0.80, 0.00
