onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.07, 0.08, 0.06, 1.00, 0.03, 0.00, 0.02
ont_2_music, 0.09, 0.09, 0.08, 1.00, 0.06, 0.00, 0.02
ont_3_sport, 0.03, 0.11, 0.04, 1.00, 0.01, 0.00, 0.01
ont_4_book, 0.08, 0.12, 0.08, 1.00, 0.03, 0.00, 0.01
ont_5_military, 0.05, 0.12, 0.06, 1.00, 0.03, 0.00, 0.07
ont_6_computer, 0.04, 0.05, 0.04, 1.00, 0.00, 0.00, 0.00
ont_7_space, 0.17, 0.54, 0.24, 1.00, 0.03, 0.00, 0.02
ont_8_politics, 0.04, 0.19, 0.07, 1.00, 0.02, 0.00, 0.04
ont_9_nature, 0.12, 0.40, 0.17, 1.00, 0.01, 0.00, 0.01
ont_10_culture, 0.03, 0.04, 0.03, 1.00, 0.01, 0.00, 0.00
